date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:38	2483/2483	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2005:56:08%20GMT	https://www.ypfblogistica.com.bo/th/vistas/login.html	C:/My%20Web%20Sites/Prueba/www.ypfblogistica.com.bo/th/vistas/login.html	(from )
19:51:39	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Sep%202020%2023:50:08%20GMT	https://www.ypfblogistica.com.bo/robots.txt		(from )
19:51:39	122540/122540	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Aug%202015%2023:49:40%20GMT	https://www.ypfblogistica.com.bo/th/public/css/bootstrap.min.css	C:/My%20Web%20Sites/Prueba/www.ypfblogistica.com.bo/th/public/css/bootstrap.min.css	(from https://www.ypfblogistica.com.bo/th/vistas/login.html)
19:51:39	32318/32318	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Jul%202015%2014:44:48%20GMT	https://www.ypfblogistica.com.bo/th/public/css/font-awesome.css	C:/My%20Web%20Sites/Prueba/www.ypfblogistica.com.bo/th/public/css/font-awesome.css	(from https://www.ypfblogistica.com.bo/th/vistas/login.html)
19:51:40	86394/86394	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Aug%202015%2023:49:40%20GMT	https://www.ypfblogistica.com.bo/th/public/css/AdminLTE.min.css	C:/My%20Web%20Sites/Prueba/www.ypfblogistica.com.bo/th/public/css/AdminLTE.min.css	(from https://www.ypfblogistica.com.bo/th/vistas/login.html)
19:51:40	1611/1611	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Aug%202015%2023:49:40%20GMT	https://www.ypfblogistica.com.bo/th/public/css/blue.css	C:/My%20Web%20Sites/Prueba/www.ypfblogistica.com.bo/th/public/css/blue.css	(from https://www.ypfblogistica.com.bo/th/vistas/login.html)
19:51:40	86709/86709	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2019%20Jan%202017%2018:51:34%20GMT	https://www.ypfblogistica.com.bo/th/public/js/jquery-3.1.1.min.js	C:/My%20Web%20Sites/Prueba/www.ypfblogistica.com.bo/th/public/js/jquery-3.1.1.min.js	(from https://www.ypfblogistica.com.bo/th/vistas/login.html)
19:51:40	35951/35951	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Aug%202015%2023:49:40%20GMT	https://www.ypfblogistica.com.bo/th/public/js/bootstrap.min.js	C:/My%20Web%20Sites/Prueba/www.ypfblogistica.com.bo/th/public/js/bootstrap.min.js	(from https://www.ypfblogistica.com.bo/th/vistas/login.html)
19:51:40	15510/15510	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2022%20Jun%202020%2021:29:42%20GMT	https://www.ypfblogistica.com.bo/th/public/js/bootbox.min.js	C:/My%20Web%20Sites/Prueba/www.ypfblogistica.com.bo/th/public/js/bootbox.min.js	(from https://www.ypfblogistica.com.bo/th/vistas/login.html)
19:51:41	392/392	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Jun%202020%2013:21:08%20GMT	https://www.ypfblogistica.com.bo/th/vistas/scripts/login.js	C:/My%20Web%20Sites/Prueba/www.ypfblogistica.com.bo/th/vistas/scripts/login.js	(from https://www.ypfblogistica.com.bo/th/vistas/login.html)
19:51:41	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Sep%202020%2023:50:10%20GMT	https://www.ypfblogistica.com.bo/th/public/img/boxed-bg.jpg	C:/My%20Web%20Sites/Prueba/www.ypfblogistica.com.bo/th/public/img/boxed-bg.jpg	(from https://www.ypfblogistica.com.bo/th/public/css/AdminLTE.min.css)
19:51:41	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Sep%202020%2023:50:10%20GMT	https://www.ypfblogistica.com.bo/th/public/css/blue.png	C:/My%20Web%20Sites/Prueba/www.ypfblogistica.com.bo/th/public/css/blue.png	(from https://www.ypfblogistica.com.bo/th/public/css/blue.css)
19:51:42	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Sep%202020%2023:50:11%20GMT	https://www.ypfblogistica.com.bo/th/public/css/blue@2x.png	C:/My%20Web%20Sites/Prueba/www.ypfblogistica.com.bo/th/public/css/blue@2x.png	(from https://www.ypfblogistica.com.bo/th/public/css/blue.css)
